name,mood,vibe,pricing,cuisine
The Garage,Energetic,Club/Live Music,£,N/A
King Tut's Wah Wah Hut,Indie,Live Music Venue,££,N/A
Brel,Chilled,Beer Garden/Bar,££,European
The Pot Still,Relaxed,Whisky Pub,£,Scottish
Òran Mór,Cultural,Theatre/Bar,££,Scottish
Sub Club,Energetic,Underground Club,£,N/A
The Corinthian Club,Upscale,Cocktail Bar,£££,European
Nice N Sleazy,Alternative,Bar/Live Music,£,N/A
Barrowland Ballroom,Energetic,Concert Hall,££,N/A
SWG3,Trendy,Art/Club Venue,££,N/A
Drygate Brewing Co.,Chilled,Brewery,££,Pub Food
The Stand Comedy Club,Humorous,Comedy Venue,£,N/A
Platform,Casual,Street Food Market,£,Street Food
Hillhead Bookclub,Trendy,Cocktail Bar,£,Fusion
Sloan's,Traditional,Pub,£,Scottish
The Blue Arrow,Relaxed,Jazz Bar,££,N/A
Mono,Casual,Vegan Café/Bar,£,Vegan
The Hug and Pint,Cosy,Live Music/Bar,£,Asian Fusion
Broadcast,Alternative,Live Music/Bar,£,N/A
Blackfriars,Traditional,Pub,£,Pub Food
Inn Deep,Laid-back,Riverside Pub,£,Pub Food
St Luke’s & The Winged Ox,Lively,Bar/Concert Venue,££,Pub Food
The Horseshoe Bar,Casual,Historic Pub,£,Pub Food
The Rum Shack,Tropical,Bar,£,Caribbean
The Finnieston,Trendy,Gin & Seafood Bar,£££,Seafood
The Sparkle Horse,Casual,Pub,£,Pub Food
The Butterfly and the Pig,Vintage,Cocktail Bar,££,Scottish
The Howlin' Wolf,Energetic,Live Blues Bar,£,BBQ
Bloc+,Alternative,Live Music/Bar,£,Street Food
Kelvingrove Café,Stylish,Cocktail Bar,££,European
Arta,Romantic,Mediterranean Bar/Restaurant,££,Mediterranean
Stereo,Trendy,Vegan Bar/Club,£,Vegan
Tabac,Cosy,Cocktail Bar,££,European
Bananamoon,Quirky,Bar/Restaurant,££,Fusion
Van Winkle,Casual,Bourbon & BBQ,£,BBQ
Cottiers,Cultural,Bar/Theatre,££,Scottish
WEST Brewery,Casual,Beer Hall,£,German
Dakota Bar & Grill,Upscale,Hotel Bar,£££,Steakhouse
The State Bar,Casual,Pub,£,Pub Food
McChuills,Alternative,Sports/Live Music Pub,£,Pub Food
The Admiral Bar,Traditional,Pub/Club,£,Pub Food
Saint Luke’s,Trendy,Concert Venue,££,N/A
The Lab,Trendy,Cocktail Bar,££,Fusion
The 78,Relaxed,Vegan Pub,£,Vegan
The Scotia,Historic,Pub,£,Scottish
Tiki Bar & Kitsch Inn,Tropical,Cocktail Bar,££,Asian/Caribbean
Radisson RED Sky Bar,Upscale,Rooftop Bar,£££,N/A
Citation,Upscale,Restaurant/Bar,£££,European
The Ivy Buchanan Street,Upscale,Restaurant/Bar,£££,International
